,Brand,Model,Weight,Operating System,Display Size,Pixel Density,Display Touchscreen,Clock-speed,Capacity,RAM Type,SSD Capacity,Battery Type,Wi-Fi Version,Warranty,Price (Rs),Weight_Category,Resolution_X,Resolution_Y,GPU_Brand,GPU_Tier,CPU_Brand,CPU_Category,Total_Pixels,Screen_Category,PPI_Category
609,Dell,5455,1.8254062618836355,Windows 11,14.0,162,No,3,16 GB,DDR5,512 GB,Li-Ion,7.0,1,113344.0,Normal,1920,1200,Intel,Other,Qualcomm,Other,2304000,Medium,Medium
610,Acer,TL14-42M (UN.34KSI.01W),1.39,Windows 11,14.0,157,No,4,16 GB,DDR4,512 GB,Li-Ion,6.0,3,84000.0,Light,1920,1080,AMD,Integrated,AMD,Other,2073600,Medium,Medium
611,HP,15-fb3004AX (B61F6PA),2.29,Windows 11,15.6,141,No,5,16 GB,DDR5,512 GB,Li-Ion,6.0,1,64969.0,Normal,1920,1080,NVIDIA,Entry Gaming,AMD,Other,2073600,Medium,Medium
612,Lenovo,14ILL10 (83JX001LIN),1.19,Windows 11,14.0,162,No,4,32 GB,DDR5,1 TB,Li-Ion,7.0,1,109990.0,Ultra Light,1920,1200,Intel,Integrated,Intel,Ultra 5,2304000,Medium,Medium
613,MSI,C7M-283IN,1.4,Windows 11,14.0,157,No,4,16 GB,DDR4,512 GB,Li-Ion,6.0,1,39990.0,Light,1920,1080,AMD,Integrated,AMD,Other,2073600,Medium,Medium
614,Lenovo,14ILL10 (83JX001MIN),1.19,Windows 11,14.0,162,No,4,32 GB,DDR5,1 TB,Li-Ion,7.0,1,149991.0,Ultra Light,1920,1200,Intel,Integrated,Intel,Ultra 7,2304000,Medium,Medium
615,Acer,PHN16-72 (UN.QNPSI.007),2.8,Windows 11,16.0,142,No,5,16 GB,DDR5,1 TB,Li-Ion,6.0,1,114999.0,Heavy,1920,1200,NVIDIA,High,Intel,Other,2304000,Large,Medium
616,HP,14-fc0179TU (B6MK9PA),1.39,Windows 11,14.0,243,Yes,4,32 GB,DDR5,1 TB,Li-Ion,6.0,1,141999.0,Light,2880,1800,Intel,Integrated,Intel,Ultra 7,5184000,Medium,High
617,Lenovo,Gen 5 (21JKS1FQ00),1.8254062618836355,Windows 11,14.0,162,No,4,16 GB,DDR4,512 GB,Li-Ion,6.0,1,66991.0,Normal,1920,1200,Intel,Integrated,Intel,Other,2304000,Medium,Medium
618,MSI,C7M-285IN,1.4,Windows 11,14.0,157,No,4,16 GB,DDR4,512 GB,Li-Ion,6.0,1,47990.0,Light,1920,1080,AMD,Integrated,AMD,Other,2073600,Medium,Medium
619,Lenovo,Gen 5 (21JRS02F00),1.8254062618836355,Windows 11,14.0,162,No,4,16 GB,DDR4,512 GB,Li-Ion,6.0,1,67990.0,Normal,1920,1200,AMD,Integrated,AMD,Other,2304000,Medium,Medium
620,Lenovo,Gen 4 (83CCA076IN),1.8254062618836355,Windows 11,15.6,141,No,4,8 GB,DDR4,512 GB,Li-Ion,6.0,1,85900.0,Normal,1920,1080,Intel,Integrated,Intel,Other,2073600,Medium,Medium
621,HP,15-fd0549TU (B9NQ1PA),1.59,Windows 11,15.6,141,No,4,8 GB,DDR4,1 TB,Li-Ion,6.0,1,65300.0,Light,1920,1080,Intel,Integrated,Intel,Other,2073600,Medium,Medium
622,HP,15-fd0552TU (BB7B8PA),1.59,Windows 11,15.6,141,No,4,16 GB,DDR4,1 TB,Li-Ion,6.0,1,69600.0,Light,1920,1080,Intel,Integrated,Intel,Other,2073600,Medium,Medium
624,Acer,AL15G-52 (UN.34CSI.010),1.8254062618836355,Windows 11,15.6,141,No,4,8 GB,DDR4,512 GB,Li-Po,6.0,1,53999.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,Other,2073600,Medium,Medium
